Line,GEBV_biomassfinalplant,GEBV_biomassfinalplot,GEBV_fruitlength,GEBV_fruitno,GEBV_fruitshapeindex,GEBV_fruitweight,GEBV_fruitwidth,GEBV_leafangledaily,GEBV_leafareadaily,GEBV_leafareadailyplant,GEBV_leafareaprojecteddaily,GEBV_leafareaprojectedplant,GEBV_yield
GPC01055,-25216.41702,-92008722.51,3.612377048,-17.82587791,1.141297648,8.844422194,0.372868229,-0.011260099,-1549.236017,-373.9906821,-884.2062957,-223.8061857,0.105626457
GPC01056,-24559.19856,-90775065.76,3.564547819,-17.35228382,0.203128667,18.20809959,1.006029613,-0.020252935,-1582.345991,-371.6929126,-981.3435476,-244.4695811,1.041779848
GPC01057,-22801.90602,-82103746.05,4.59544324,-4.253314005,0.641970884,15.72340624,0.93047318,-0.01260945,-1485.305342,-364.98054,-841.1033934,-221.796306,0.745941861
GPC01058,-22649.67459,-83966942.91,3.616769435,-10.24577718,-0.107564831,19.60240662,1.131390776,-0.02188585,-1450.642739,-352.8822789,-931.2944655,-235.855421,1.418483973
GPC01059,-25669.93779,-97835460.51,2.241710025,-2.879382315,1.261422254,1.272914076,0.00807777,-0.016185386,-1530.702558,-363.977848,-876.8541787,-214.2134802,-0.690904757
GPC01060,-24900.86894,-92060044.67,-0.15641145,-8.694330118,-0.676418675,-0.027855175,0.340398165,5.39E-05,-1373.091069,-317.4791488,-674.0653727,-169.4623626,-1.770727734
GPC01061,-26219.80683,-98103085.32,-3.008913178,-22.02237321,-2.358301808,20.96052326,2.275942196,-0.014907587,-1546.874194,-378.4419065,-804.5867103,-205.4191523,-0.47178004
GPC01063,-37831.06601,-139034581.1,-1.695737975,-15.13814044,-1.245946058,20.52706989,2.013609044,-0.017209456,-2128.839015,-490.0378605,-1126.337353,-288.0971309,-0.284169102
GPC01065,-25424.90877,-88742482.43,2.157349796,-19.74257145,-0.735765494,25.48120159,1.727841455,-0.018065314,-1539.945277,-388.3142538,-914.3724991,-245.8748905,0.863693004
GPC01066,-23119.73479,-86895329.12,2.438020123,-23.01535544,-0.747447682,24.50670364,1.588993379,-0.022015738,-1674.012722,-405.2048961,-1022.997782,-257.8236605,0.809177388
GPC01067,-32113.86075,-123587516.5,-4.662577445,-20.62444606,-2.761080913,23.50686097,2.420638055,-0.020063474,-1651.442805,-386.7081164,-848.3862998,-208.9165392,-1.36660053
GPC01068,-31746.11845,-116625316.2,-4.045435953,-10.55346276,-1.919443909,16.85416857,1.986360904,-0.011752265,-1690.407256,-404.9264002,-852.8849483,-216.9280836,-1.669245962
